original_index,review,sentiment
861,sesuai,satisfied
862,mantep bass nyaterima kasih Ka 😁,satisfied
863,"murah gak murahan, benar - benar cepet chargingnya.",satisfied
864,"barang bagus dan mulus, ukuran pas",satisfied
865,"barang bagus, pas, dan cocok",satisfied
866,"barang datang dengan aman, pas dan cocok varian hpnya",satisfied
867,"barang datang dengan kondisi mulus, pas ukurannya dan juga berfungsi dengan baik",satisfied
868,"Dengan harga segini, baru kali ini seumur umur dapat TG yang kualitasnya harga 150k+ Sangad2 recomend worth it, harga rakyat, kualitas sultan coook Goks 🔥🔥 pertahankan... ",satisfied
869,"Keren barangnya, murah tapi tidak murahan 👍👍",satisfied
870,"bentuknya pas kecil, organizernya bisa digeser. sayang tempat naro kabelnya terlalu sempit. jadi naro kabel tebel gk muat.",satisfied
871,puas ini pembelian kedua,satisfied
872,"kalau beli earphone murah tapi mau bagus yah ini solusinya, yiihaaaa ..",satisfied
873,"bagus baik dari harga, produk, dan after sales-nya komen dari semua hp nya yang pakai tg copper selama 2 th belakangan ini",satisfied
874,"Packing oke banget, box keren, serius banget ini produsen nya. Bergaransi pula",satisfied
875,"Barang sudah diterima, sesuai dg pesanan dan dalam kondisi baik, packing juga bagus serta respon seller mantap",satisfied
876,barang berfungsi baik tanpa ada masalah.,satisfied
877,"Respon, pengiriman, kualitas TGnya pokoknya aman ngga ada masalah. Tebel dan licin. Kurangnya cuma satu, kurang lebar lagi 1 atau 2mm aja mungkin, karena border hitamnya... ",satisfied
878,good luck with that I will help you with this one,neutral
879,"sesuai deskripsi, bagus",satisfied
880,"Terbaik, dapat free office 365 pula mantap",satisfied
881,"respon cepat, barang diterima dengan baik.terima kasih",satisfied
882,"Bagus, Lebih mudah dipasang karena tidak ada garis hitamnya.",satisfied
883,mntapp keren,satisfied
884,barangnya bagus tapi fingerprintnya jadi kurang sensitive,satisfied
885,"sesuai descripsi, packing aman",satisfied
886,barang sesuai deskripsi. dipasang dengan mudah,satisfied
887,bagus real 18w barang sampai dengan selamat,satisfied
888,barang oke harga terjangkau dan  mantap barang nya no hoak,satisfied
889,untuk xiaomi 14 T mantap..presisi...layar licin...tidak bertabrakan dengan case aslinya...minyak bekas jari  minimalisss,satisfied
890,udah langganan ini pass presisi cocok dah..pemasangan mudah,satisfied
891,udah langganan ini pass presisi cocok dah..pemasangan mudah,satisfied
892,barang oke,satisfied
893,Selalu bagus beli disini ga pernah ganti2 merek. Walopun cepet rusak klo jatoh temperdglass nya,satisfied
894,"Selalu beli disini buat temperd glass. Ga pernah ganti ke merek lain. Selalu bagus, walopun yaa rentan rusak nya klo jatoh.",satisfied
895,selaluu mntaap,satisfied
896,Harganya murah tapi kualitasnya bgs thanks,satisfied
897,mantap sekali semuanya bagus saya puas,satisfied
898,"lumayan presisi, harus pas banget masang nya klo engga dia bakal ke angkat""",neutral
899,"Respon penjual sangat sangat responsif dan cepat, order kemarin sampe sore ini, untuk kurir ID Express juga cepat. two thumbs up, keren. untuk produknya pas awal pertama... ",satisfied
900,recomended seller,satisfied
901,"Paket sampai dengan aman. bubble warp nya berlapis-lapis. ukuran masih kurang sekitar 2-3 mm, jd nga full cover. tapi mestinya pas utk yang pakai case sleeve.",satisfied
902,"Paket sampai dengan selamat. aman, bublewarp nya berlapis-lapis. ukuran pas dan sesuai. terima kasih masih stock ipad lama🙏",satisfied
903,"Keren barangnya, kualitas mantap",satisfied
904,"Keren, kualitas mantap",satisfied
905,mantaps barang nya cukup bagus mungkin kurang gede dikit aja,satisfied
906,"barang sesuai. cuma kurang 1mm dari layarnya. oleophobic, nyaman dimata",satisfied
907,"tidak diragukan lagi,barang top markotop",satisfied
908,"Selalu langganan, mantapp!!!",satisfied
909,"bagus, walau delay sehari",satisfied
910,Joss mntap berfungsi,satisfied
911,Bass oke banget,satisfied
912,Terlalu jauh letak kamera depan dengan bazel atas hape sedangkan bagian bawah bazel terlalu over. Lebih di perhatikan saja mungkin,dissapointed
913,"barang bagus, real fast charging",satisfied
914,mantap brngnya cepat sampai,satisfied
915,"mantap, bisa nyimpan banyak dan jadi lebih rapih",satisfied
916,Entah sudah beli untuk yang keberapa kali disini..terbaik pokoknyaaa...!!!!! SPECIAL POKOKNYA,satisfied
917,Entah sudah beli untuk yang keberapa kali disini..terbaik pokoknyaaa...!!!!! SPECIAL POKOKNYA,satisfied
918,"Cooper gak pernah mengecewakan... produk sangat2 premium dan memuaskan, gerak cepet seller dan kurir pengirimannya juga cepat. Thanks tokped.",satisfied
919,"Ukuran pas, gampang pemasangannya, disertai dengan link untuk video",satisfied
920,"Produk bagus, bisa muat 1 charger Macbook Pro, 1 Powerbank, satu Charger Smartphone, USB C Hub, 1 tool kit Smartphone, 2 kabel charger ukuran 1 meter, 3 Suplemen Imboost,... ",satisfied
921,"pengiriman cepat, barang juga mantap, warna juga sesuai makasih.",satisfied
922,"top markotop kedua kalinya beli dr 2021 saking awetnya pengiriman juga cepat best lahh, tapi gk dapat bonus softcase dulu dapet softcase😄",satisfied
923,Barangnya oke...berfungsi dengan baik. Respon dan pengiriman cukup cepat....,satisfied
924,"Respon seller cepat, pengiriman aman, kualitas kacanya standar, namun ukurannya jauh lebih kecil dari ukuran layar Huawei Nova 2i, seperti bukan peruntukannya, ada jarak... ",dissapointed
925,"bahan lumayan utk melindungi layar. tapi anti gores nya ckp mudah tergores,walapun tdk sampai layar nya.",satisfied
926,"datang dengan aman, packing aman 👍👍",satisfied
927,barang masih segel.mudah mudahan bagus dan awet.pokonya welll weh lah,neutral
928,"aman, pengiriman cepat, barang bagus cuma kepala charger nya doang, pas ngecas kabelnya gk cepat tidak sesuai namanya",dissapointed
929,"barang sesuai pesanan, respon penjual cepat banget kaya rudal balistik, terimakasih🙏",satisfied
930,"Murah, bergaransi....yang lebih keren kenceng suaranya..bassnya mantep...makasih",satisfied
931,Kemasan nya Aman,satisfied
932,"barang bagus, presisi, tapi sayang fingerprint jadi tidak bisa",dissapointed
933,Ternyata anti spy tidak bisa finger scan bawah layar,dissapointed
934,presisi pas... tapi kalo pake tempered glass jangan yang full selayar yak... soalnya bakal mepet banget karena emang benar - benar presisi,dissapointed
935,bagus berfungsi dg baik mantap👍,satisfied
936,Paket sudah sampai. Kualitas oke. thanks..,satisfied
937,barang segel bungkus rapisemoga awet dan amanah ya kaksyukak,satisfied
938,"Dari segi packaging dan respon oke, cuma glassnya membuat in-display fingerprintnya ga bisa scan. Padahal dulu pakai yang versi glossy dan ga ganggu fingerprint sensornya... ",neutral
939,"setelah 4 tahun pakai merk ini, baru ganti juga. terpercaya, kualitas oke, pemasangan mudah. harga juga sebanding. packing aman : kardus, bubble wrap.",satisfied
940,barangnyaa asli dengan harga 200 perak udah dapat barang sebagus ini Masya Allah...real pict...,satisfied
941,barang sudah saya terima thanks sesuai pesanan,satisfied
942,keren..semoga awet barangnya..good job toped,satisfied
943,samping kanan kiri sulit melekat. tapi atas bawahnya oke.,dissapointed
944,Thanks gan,satisfied
945,Jos gandosss maksimal tenan,satisfied
946,pesanan sampai dengan aman. sesuai diskripsi suaranya Oke lah salernya dan kurir gercep makasih semoga awet.,satisfied
947,chargernya keren fast chargingnya support juga buat chipset yang mediatek,satisfied
948,Mantab👍,satisfied
949,"pesenan cepat banget, produk juga oke banget benar benar hoki banget dapet cuma 100 perak mantap",satisfied
950,Packing nya bagus banget. Berlapis2 dan gak pelit bubble..Pengiriman cepat..Harga terjangkau..Produk juga bagus tapi emang gak full ketutup semua layar ad beberapa mili...,satisfied
951,"kwalitas bagusss,selalu pesen disini",satisfied
952,"Barangnya bagus, selalu beli di sini karena awet, thank you!",satisfied
953,"fast shipping 👍🏻👍🏻👍🏻👍🏻👍🏻 sudah dipasang juga, merekat dengan baik",satisfied
954,"fast shipping 👍🏻👍🏻👍🏻👍🏻👍🏻 sudah dipasang juga, merekat dengan baik",satisfied
955,"Untuk iphone 15 plus, dipasangin suami, enak sih pemasangannya aman tanpa kendala, ga ada buble juga finishingnya. sensitivitas aman, cuma agak kurang full dikit yah layarn... ",satisfied
956,"oke, sudah smpai, sesuai",satisfied
957,"Gk pernah kecewa beli disini, pasangnya gampang",satisfied
958,"Barangnya kualitas bagus, sudah di pasang di hp saya",satisfied
959,"Barang sudah sampai dan sesuai cuma ada tapinya, ada sedikit baretan halus di tempered glassnya bisa dicek digambar, gak bisa dibersihin juga jadinya ya sudahlah.",dissapointed
960,"ternyata emang ga support finger print ya guys, saya pikir setelah di pasang, hapus dulu finger print lama kemudian daftarin kembali biasanya di hp yang lain bisa. tapi ini ga... ",dissapointed
961,"Mantap pas ,,,moga awet dan moga tambah berkah selalu seller",satisfied
962,"awal rata dan rapih lama"" ngangkat tg nya",neutral
963,Paking rapi; sangat berguna; pas dapat harga promo juga. Terimakasih,satisfied
964,produk bagus,satisfied
965,"Sesuai pesanan, terima kasih. Output 33 mantul",satisfied
966,sipppp 🔥🔥,satisfied
967,"Bagus min 100 rupiah dapat headset, suara juga enak",satisfied
968,kwalitas memuaskan,satisfied
969,"Barang masih segel pas sampe, berfungsi dengan baik",satisfied
970,Mantepp,satisfied
971,Produk sesuai dengan deskripsi,satisfied
972,👍🏼👍🏼👍🏼👍🏼,satisfied
973,Mantap buat pinggiran yang kurang nempel 👍🏼,satisfied
974,Sesuai pesanan mantap,satisfied
975,"barang berfungsi baik , packing nya bagus dapat bublewarp jadi barang aman di perjalanan",satisfied
976,biasa sj suara yang dihasilkan,neutral
977,packingnya aman dan built quality standar tidak murahan tidak mewah juga,neutral
978,Admin seller fast response dan komunikatif. Produk original (asli) Copper. Kualitas bagus dan terjamin.,satisfied
979,Admin seller fast response . Barang original (asli) produk Copper . Kualitas produk bagus . Terima Kasih .,satisfied
980,"terlalu awet ,tahan banting pula 🔥🔥🔥",satisfied
981,"produk bagus dan bisa dipakai, tidak menggangu dalam foto. hati2 aja pas pasang nya.",satisfied
982,barang oke,satisfied
983,bagus banget 👍🏻,satisfied
984,😍,satisfied
985,👏🏻👏🏻👏🏻,satisfied
986,"Packing aman, sesuai gambar dan deskripsi.",satisfied
987,"Kualitas aman, berfungsi setelah di cek.",satisfied
988,gausah ragu kl belanja disini. top,satisfied
989,Barang sudah diterima...makasih,satisfied
990,overall aman baterainya. cuma blm tau secara long term nya,satisfied
991,Pengiriman cepat dan dipacking dengan baik. Barang sudah ditest berfungs normal. Mantap!,satisfied
992,"packing nya aman dan rapih, kameranya mantap, semoga awet.",satisfied
993,lega sampai di rumah packing nya rapi ndaada yang jebol,satisfied
994,barang nya bagus no fake fake bagus lah pokoknya 👍👍👍,satisfied
995,cool mantap cepat informatif puas thanksss,satisfied
996,Terlalu mantap. Thankyou Baru kali ini megang lumix.. langsung cocok,satisfied
997,"Produk sampai tujuan dengan cepat dan aman, thank you 🙏🏻✨",satisfied
998,Bagus dan bisa digunakan. Foto pun jadi sesuatu yang menarik,satisfied
999,layanan cepat...recommended seller...,satisfied
1000,Mantaap kawaan,satisfied
1001,Mantep benar,satisfied
1002,"barang bagus, kamera makin gagah",satisfied
1003,Bahan oke lah. Seller bisa pickup di toko.,satisfied
1004,"barang telah tiba dengan aman, semoga baik digunakan",satisfied
1005,baik dan bagus,satisfied
1006,"barang telah tiba dengan aman, semoga baik digunakan",satisfied
1007,Pengiriman cepat barang sesuai semoga awet,satisfied
1008,Keren bgt… sesuai espektasi. Very reccomended seller.,satisfied
1009,lucu,satisfied
1010,Pelayanan sangat baikTop penjual 😁,satisfied
1011,nice terima kasih ⭐⭐⭐⭐⭐,satisfied
1012,bagus pengiriman cepat,satisfied
1013,lensa cakep,satisfied
1014,"dipasang di 6300 makin mantap , jadi 127mm tapi focal length tetap 1.8",satisfied
1015,Mantap dapat Free adapter dan Baterai Juga,satisfied
1016,"bagus kameranya, trusted seller , kualitas foto bagus , pengiriman aman dan cepat",satisfied
1017,"barang sampai keadaan baik, barang sesuai deskripsi, mantabb",satisfied
1018,"pengiriman cepat, packing rapih, pengiriman cepat",satisfied
1019,"pengiriman cepat, packing rapih, pengiriman cepat",satisfied
1020,Barang bagus,satisfied
1021,"mantapp ori, no minus",satisfied
1022,"barang sesuai deskripsi, original, harga bersahabat.pengirimam cepat",satisfied
1023,"barangny sesuai, original, harga bersahat.pengiriman cepat",satisfied
1024,"Pengiriman oke, barang bagus, packing oke",satisfied
1025,built quality mantul 👍👍,satisfied
1026,"mantaphhh...berfungsi dengan baik.seler sat set, packing aman.",satisfied
1027,"Hollyland merupakan merk terpecaya, sudah pakai mulai dari Mars 300 jadul, pengiriman tepat waktu hingga bisa langsung dipakai untuk ngejob, terimakasih. eh bonusnya tern... ",satisfied
1028,Emang JPC kemang penjual on line the best. Selalu cepet banget respon dan pengirimannya. Pengepakan juga selalu rapi dan aman. Blm di coba. Tapi percaya deh....,satisfied
1029,Barangnya cakep abis thank you hollyland,satisfied
1030,Nice,satisfied
1031,"Pelayanan cepat, berfungsi sesuai, semoga awet",satisfied
1032,"Barang sesuai, berfungsi baik, pengiriman aman, sip",satisfied
1033,sesuai!,satisfied
1034,"Barang sesuai pesanan, pengiriman cepat penjual fast respon, packing bagus rekomended",satisfied
1035,"respon dan pengiriman cepat, test dulu ya",satisfied
1036,Selalu langganan sama JPC Kemang dan sampai saat ini belum pernah kecewa dengan produk nya dan pelayanan nya professional 👍Kalo mau liat hasil nya silahkan cek di IG @...,satisfied
1037,"Packagingnya aman banget, penjualnya amanah dan fast respon dan barangnya original sesuai deskripsi.",satisfied
1038,"MANTAP PENGIRIMAN CEPAT, BARANGNYA KREN SEMOGA AWET",satisfied
1039,"Buset, speed nya kenceng benar. Gk rugi ambil, murah lg. Recomended! Semoga awet",satisfied
1040,"pengiriman cepat, barang berfungsi dengan baik. dan paket pakai bubble, respon cepat, tokonya resmi.. pokoknya mantap lah..",satisfied
1041,"mantap pengiriman cepat barang orisinil, rgister buat claim garansi pakai aplikasi juga bisa, nama toko termasuk dealer resmi akaso. harga lebih bersaing.. paket dibungk... ",satisfied
1042,Udah langganan dari dulu. Packing aman. Rapi. Jelas original. Thank you!!,satisfied
1043,Udah langganan dari dulu. Packing aman. Rapi. Jelas original. Thank you!!,satisfied
1044,Udah langganan dari dulu. Packing aman. Rapi. Jelas original. Thank you!!,satisfied
1045,Udah langganan dari dulu. Packing aman. Rapi. Jelas original. Thank you!!,satisfied
1046,"Proses cepat, kirim akurat, produk segel tanpa cacat, semua berfungsi normal. Mantap.************************************",satisfied
1047,Barangnya rusak,dissapointed
1048,seller rsponsif.. saya butuh cepat dan di bantummc cocok kebutuhan di insta 360x3terima kasih,satisfied
1049,"keren, kualitasnya mantap, dan packingnya rapi, pokoknya terbaik memang..",satisfied
1050,Barang sesuai iklan dan pesanan. Pengiriman lancar tanpa kendala,satisfied
1051,bagus kualitasnya,satisfied
1052,build quality bagus,satisfied
1053,Hasil keren,satisfied
1054,Keren banget!,satisfied
1055,"Kemasannya aman banget, jadi waktu sampai ngga ada masalah sama sekali.",satisfied
1056,oke,satisfied
1057,"Wow barang kiriman JPC Kemang selalu packing terbaik, cepat … oke banget.Utk kamera nya, gaya retro kualitas numero uno ….",satisfied
1058,Terbaik tokonya dan pelayanannya,satisfied
1059,Tidak mengecewakan,satisfied
1060,Sangat baik pelayanannya,satisfied
1061,"kualitas top, paket aman dan cepat, mantapppp",satisfied
1062,Paket aman. Admin ramah sampek tengah malam tetap di balas.,satisfied
1063,"Paket aman, kamera dan lensa bekerja dengan baik. Admin sangat ramah",satisfied
1064,"Barangnya original, pelayanan cepat, kualitas dijamin (garansi)",satisfied
1065,"Mulai dari Kamera, sama Lensa 3 Biji, Sigma 35 Mm Dg DN, Sigma 85 DG Dn, dan terakhir Sony 70-200 GM MARK II, Di toko ini, gak Pernah menyesal.SANGAT REKOMENDASI DI TOK... ",satisfied
1066,"Fast delivery, great quality ✨",satisfied
1067,"Packing baik, pengiriman cepat, semoga awet, tq seller 👌🏻",satisfied
1068,"proses cepat, barang di packing dengan aman, produk memuaskan",satisfied
1069,"produk dan sellernya mantapppp..pengiriman cepat, packaging aman dan segel, layanan purna jual juga diladenin..keren deh..",satisfied
1070,bagus,satisfied
1071,Mantaap,satisfied
1072,"Paket diterima dengan baik, packaginya betul betul aman, lensa ori dan tersegel rapi. Hasil test lenaa memuaskan. Terima kasih JPC Kemang",satisfied
1073,berfungsi dengan baik,satisfied
1074,mantul,satisfied
1075,ke 2 kali beli disini ✌🏾,satisfied
1076,"proses order cepat, barangnya sesuai, saya suka",satisfied
1077,"produk sampai aman dan rapih, mdh2an ada promo lg bisa beli aksesoris lain",satisfied
1078,"Barang sesuai deskripsi, seller sangat responsif, pengiriman cepat, paking rapi aman, harga paling oke. Mantaf 👍👍👍",satisfied
1079,"bagus, mudah mudahan awet. udah di test mantulll",satisfied
1080,"Lumayanlah, salah baca deskripsi gua.Buat adminya tetep gokil, fast respon banget. Makasih udah kirimin barang dalam keadaan baik sampe sini kak 🙏",satisfied
1081,recommend seller,satisfied
1082,Nice product,satisfied
1083,sudah seting belanja disini. mumpung promo lgsg gasss. harga murah kualitas bintang 5. malnyus eos rp. warna cakep noise minim,satisfied
1084,"baru pertama kali belanja disini, gokil sh pelayanannya.. dikira barang sampe besok ternyata dateng hari ini.. smoga awet dan jadi pengen maen ke toko",satisfied
1085,"aman ,terpercaya ,",satisfied
1086,"Barang bagus, aman, pengiriman cepat. Respon penjual bagus.",satisfied
1087,"Sellernya gercep benarr, barang lgsg dikirim dengan packing yang mantap, semoga pelayananya selalu terjaga, bravo jpg kemang!",satisfied
1088,barang sesuai deskripsi dan berfungsi dengan baik,satisfied
1089,packingnya rapih tapi sayang pake bubble wrapnya ga tebel ngeri kenapa2 klo pas pemgiriman tapi Alhamdulillah barangnya nyampe dengan selamat,satisfied
1090,Fast respont seller ramah barang bagus banget,satisfied
1091,Mantep banget belanja perkameraan kalo di jpckemang👍,satisfied
1092,Barang mantap,satisfied
1093,"Kualitas Original, Barang sudah di terima dengan baik, belim dibuka dan di coba semoga aman.😄",satisfied
1094,"Service, packing dan pengiriman barang cepat dan oke",satisfied
1095,"barangnya bagus cuman panjang banget, mungkin coba yang slide lite kalo seneng strap yang pendek",satisfied
1096,"Jaminan ori kalau beli di sini, pengiriman juga super cepat dan packingan amanLgsg ditest, puas banget dengan kualitas produknyaTop Notch Seller!",satisfied
1097,"Jaminan ori kalau beli di sini, pengiriman juga super cepat dan packingan amanLgsg ditest, puas banget dengan kualitas produknyaTop Notch Seller!",satisfied
1098,top,satisfied
1099,"Barang bagus, original, toko sangat responsif bahkan melebihi harapan. Toko mengingatkan dulu ke saya apakah cocok dengan kameranya. pas udah oke, toko baru kirim. Keren.... ",satisfied
1100,"Bagus.....cepat pengiriman, produk compatible dan kualitas tidak kalah dengan yang original",satisfied
1101,keren sih...,satisfied
1102,"cepet banget sampe,toko nya gercep abis",satisfied
1103,JPC TERBAIK,satisfied
1104,"Seller responsif, barang original sesuai deskripsi, pengiriman cepat, packing rapi aman, harga paling oke, mantaf",satisfied
1105,barangnya tiba dengan selamat. Barang Ori,satisfied
1106,memuaskan lah pokoknya.,satisfied
1107,mantap,satisfied
1108,BEST!!! seller sangat responsif dan pengiriman sangat cepat. packaging juga rapi dan aman. Barang original sesuai semuanya 👍🏽,satisfied
1109,"memuaskan,, barang nya bagus.. original bahan premium",satisfied
1110,Pengiriman cepat istri happy,satisfied
1111,Pengiriman cepat istri happy,satisfied
1112,"Terimakasih, respon sangat cepat, pilih pake YES benaran besok sampai",satisfied
1113,Barang sangat bagus sesuai pesananRespon baik dan cepatToko super rekomen,satisfied
1114,Admin Fast Respond Barang OriPengiriman super KilatToko Kamera Trusted ini mah. 👌,satisfied
1115,Barang sesuai deskripsi dan ekspektasi. Seller gercep dan recommended.,satisfied
1116,"barang sesuai pesanan, respon penjual baik dan pengiriman cepat",satisfied
1117,Barang bagus sesuai diskripsi,satisfied
1118,Barang bagus sesuai diskripsi,satisfied
1119,"Terimakasih, mendarat dan dapat difungsikan dengan cukup mudah",satisfied
1120,"qualitas video lumayan, sesuai harga. awalnya mengira kalau 4k, qualitasnya sama semua ternyata tidak 😅. Pengiriman cepat dan aman. thanks seller.",satisfied
1121,"Segel, recomended seller",satisfied
1122,"packing aman, pengiriman cepat, kwalitas bagus",satisfied
1123,top seller..barang orii dan bagusss..,satisfied
1124,🙏🏻,neutral
1125,"packing rapih barang sampai dengan aman ,, admiin nya ramah dan menjelaskan secara rinci",satisfied
1126,Mantap terasa..,satisfied
1127,packing rapih dan baguss barangnya,satisfied
1128,bagus,satisfied
1129,Great product great brand great seller.. terima kasih banyak,satisfied
1130,Thank you so much!!!,satisfied
1131,belum dicoba untuk sound qualitynya.. tapi barang datang dengan aman dan berfungsi sebagaimana mestinya 👍👍👍👍👍,satisfied
1132,"Barang sudah diterima, sesuai deskripsi, kualitas sangat baik..",satisfied
1133,"Sudah sering belanja di JPC Kemang dan pelayanannya selalu memuaskan,barang nya tentu original dan packing sudah pasti aman.",satisfied
1134,"seperti biasa, Top Seller, barang sesuai, packing sangat aman, pengiriman tepat wkt.",satisfied
1135,Berdungsi normal dan tentumya 100% original,satisfied
1136,"packing aman, kirim sesuai jadwal. terpercaya.",satisfied
1137,thanks .. it's original,satisfied
1138,bagus pelayanan top,satisfied
1139,"Seller fast respon, komunikatif dan solutif. Super rekomended belanja disini. terima kasih",satisfied
1140,oke nice,satisfied
1141,"Seller responsif, barangnya bagus, pengiriman cepat, packing bagus. Udah beberapa kali beli di sini.",satisfied
1142,Packing aman...Barang mantap....,satisfied
1143,Original semua skalian ambil baterai dan lensa Rf 50mm,satisfied
1144,Mantapp barang ori dan pengirimannya cepat semoga jpckemang lancar selalu,satisfied
1145,"Pengiriman cepat, seller juga informatif konfirmasi dulu apakah lensa cocok dengan kamera yang digunakan. Kualitas barang juga oke, aman packagingnya 👌🏻",satisfied
1146,"Pengiriman cepat, seller juga informatif konfirmasi dulu apakah lensa cocok dengan kamera yang digunakan. Kualitas barang juga oke, aman packagingnya 👌🏻",satisfied
1147,"Mantep Lexar mah, durabilitasnya gak perlu diragukan lagi. gak kaya brand sebelah yang dikit2 data corrupt🤣",satisfied
1148,Mantap Mantap Mantap Mantap Mantap Mantap MantapMantap,satisfied
1149,"Barang sesuai deskripsi dan gambar, pengiriman dan respon cepat",satisfied
1150,JPC paling komplit dan banyak bonus nya... Top lah,satisfied
1151,Cocok sama kamera aku,satisfied
1152,mantep banget bisa pake dua NPF batere dan dudukannya udah termasuk,satisfied
1153,"barang original, pengiriman sangat cepat.",satisfied
1154,"barang original, pengiriman sangat cepat.",satisfied
1155,kualitas suara oke banget.best wireless mic buat yang suka iseng2 rekam video (bkn yang nyari utk profesional.)dan worth it banget utk harganya,satisfied
1156,bahannya bagus. pas di lensa 16-55mm,satisfied
1157,true,satisfied
1158,"Goks, enak buat street photo. Tested on Sony A5000.",satisfied
1159,"packing rapih, pengiriman cepat.terimakasih",satisfied
1160,"Nambah batre lagi, thanksss!!",satisfied
1161,Good qualityyy!!,satisfied
1162,bintang lima bintang lima bintang lima bintang lima,satisfied
1163,"packing aman dan rapi, pesen kmaren malem sore ini udh sampe👍",satisfied
1164,"pelayanan bagus, semua penjelasna lengkap, dan sabar banget melayani semua pertanyaan customer. memang the best belanja disini",satisfied
1165,Barang berfungsi dengan baik.,satisfied
1166,"Pengiriman aman dan cepat (karena emng pilih instant), admin super ramah dan informatif🌟🌟🌟🌟🌟",satisfied
1167,"Pengiriman aman dan cepat (karena emng pilih instant), admin super ramah dan informatif🌟🌟🌟🌟🌟",satisfied
1168,Barang sesuai deskripsi. Prlayanan bagus,satisfied
1169,"barang berfungsi dengan baik, pengiriman lebih cepat dari yang dijanjikan, mantap",satisfied
1170,Cepat sampai,satisfied
1171,"bukan main pengiriman cepat, original. benar benar profesional",satisfied
1172,cakeupppp!!! pengiriman lancar emang gak salah pilih di jpc kemang,satisfied
1173,Mantaf pelayanan pooll banget. Makasih  admin nya sangat membantu,satisfied
1174,Mantaf pelayanan pooll banget. Makasih  admin nya sangat membantu,satisfied
1175,Mantaf pelayanan pooll banget. Makasih  admin nya sangat membantu,satisfied
1176,"Tidak ada masalah dengan produknya, selalu original dan pengiriman cepat, sudah biasa beli di sini, baik toko fisik maupun market place, cuma kecewa Ketika mau rubah pesa... ",dissapointed
1177,"Tidak ada masalah dengan produknya, selalu original dan pengiriman cepat, sudah biasa beli di sini, baik toko fisik maupun market place, cuma kecewa Ketika mau rubah pesa... ",dissapointed
1178,"Tidak ada masalah dengan produknya, selalu original dan pengiriman cepat, sudah biasa beli di sini, baik toko fisik maupun market place, cuma kecewa Ketika mau rubah pesa... ",dissapointed
1179,Produk sampai dengan selamat. Cepat banget bagai kilat. Aman. I'm lovin it!,satisfied
1180,"Produk sesuai deskripsi.. berfungsi normal..daya maksimal sekitar 8 Watt.. packing mantaps, dirangkap..",satisfied
1181,mantuullllllll,satisfied
1182,layanan cepat .packing aman..mantap,satisfied
1183,filter marumi ini benar - benar keren coatingnya sangat bagus cocok untuk foto sport di terik matahari bantu cahaya cut uv selain itu sangat tipis dan mudah di nersihkan air tid...,satisfied
1184,"seller fast respon, barang mendarat dengan selamat puas pokonya belanja di store iniberikut beberapa testimoni dari lensa inj",satisfied
1185,mantap!,satisfied
1186,"barang sesuai,sudah beberapa kali beli peralatan ditoko ini",satisfied
1187,"Mantap, komunikasinya juga enak. Pengirimannya juga cepat sekali",satisfied
1188,"barang sesuai, packing rapih, dan pelayanan Admin 👍🏼",satisfied
1189,"Lengkap, barang ori, exp masih aman",satisfied
1190,"kiriman cepat, packing rapi, bagus dan aman. barang ori dan bersegel.",satisfied
1191,"pengiriman cepat,, pacling rapih,, barang ori",satisfied
1192,"pengiriman cepat,, packing rapih  original",satisfied
1193,"Barang sesuai deskripsi, pas di lensa",satisfied
1194,"mantap original, berfungsi dengan baik. terimakasih",satisfied
1195,"selalu jadi toko pilihan utama buat beli paper instax, exp date masih lama, barang original. good job 👍🏻",satisfied
1196,packing aman dan kondisi mulus. kamera berfungsi baik,satisfied
1197,Mantap! Puas pol Terima kasih jpc kemang.,satisfied
1198,"Paket aman di bubble wrap, sudah pasti ori dan bagus 👍",satisfied
1199,"Kelengkapan standar.Produk resmi dan bergaransi.Pengiriman cepat dan aman.Fitur dan fungsi kamera berjalan baik, perlu eksplor lagi fitur2 nya.",satisfied
1200,"Packaging sangat baik, barang sesuai deskripsi, Seller sangat baik dalam berkomunikasi dengan customer. Very helpful. Keep up the good work. Belum dicoba tapi sepertinya... ",satisfied
1201,Mantap 👍🏻👍🏻,satisfied
1202,Great service at the shop. Highly recommended.,satisfied
1203,Oke,satisfied
1204,"Barang nyampe cepet cuman 2 hari mantap. Packing aman banget dan keterangan untuk pembelian sangat jelas, admin nya juga ramah. Semoga semakin semangat berkarya. Terimaka... ",satisfied
1205,"h+1 udah sampe, terimakasih Om",satisfied
1206,"Packing rapi, pengiriman cepat, produk original",satisfied
1207,"Suara clear dan mantap... kualitas suara jauh diatas saramon, hampir sebanding dengan eartc.. bobot ringan dan nyaman.. datang molor tidak sesuai estimasi tapi masih oke. t... ",satisfied
1208,Cocok sesuai pesanan,satisfied
1209,"pengiriman cepat, admin responsif. terbaik selalu jpckemang",satisfied
1210,Mantul mantul terima kasih mimin yang baik hati,satisfied
1211,"Barang presisi, seller konfirmasi sebelum menerima pesanan.",satisfied
1212,barang sudah kami terima dengan baik sesuai gambar dan deskripsi. terima kasih,satisfied
1213,Mantap top,satisfied
1214,Toko terpercaya. Respon cepat. Barangnya oke,satisfied
1215,"Awalnya saya pikir seller salah kirim, krn di paket pengiriman ada 2 unit screen guard. Perasaan pesen 1 ajah, Setelah saya cek memang pesanananya benar 2 unit, ternyata saya y... ",satisfied
